Change component parameters: Designator = "PS2" ("PS2"); Footprint = "5749180-1"; UniqueID = "\LLPWPPUW" ("\LLPWPPUW")
Change component parameters (AddParameter): Name = "Connector Mount"; Value = "PCB Mount, Right Angle"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Description in Visual"; Value = "CONN RCPT FMALE MINI DIN 6P SLDR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Finish"; Value = "Gold"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Gender"; Value = "Socket"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Tyco Electronics"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer P/N"; Value = "5749180-1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Material"; Value = "Thermoplastic with Shield"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Contacts"; Value = "6"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "P/N"; Value = "5749180-1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PCB Package"; Value = "5749180-1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Polarization"; Value = "Y"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Shell Size"; Value = "Mini-Din"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "5749180-1-ND"; VariantName = "[No Variations]"
